Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Hourly,upd_salary,Company text,job_state
Head of Data Science,"$254,950 /yr (est.)",4.3,"Duolingo
4.3","New York, NY",201 to 500 Employees,-1,0,254950.0,Duolingo, NY
Data Scientist 2,"$93,064 /yr (est.)",3.4,"Dine Development Corporation
3.4","Annapolis Junction, MD",51 to 200 Employees,Company - Private,0,93064.0,Dine Development Corporation, MD
Data Scientist,"$97,495 /yr (est.)",3.6,"Southern Glazer’s Wine and Spirits
3.6","Dallas, TX",10000+ Employees,Company - Private,0,97495.0,Southern Glazer’s Wine and Spirits, TX
Data Scientist,"$102,993 /yr (est.)",5.0,"Markesman Group
5.0","Fort Meade, MD",51 to 200 Employees,-1,0,102993.0,Markesman Group, MD
Data Scientist,"$122,725 /yr (est.)",3.5,"OpenStore
3.5","Miami, FL",51 to 200 Employees,Company - Private,0,122725.0,OpenStore, FL
Data Scientist,$50.00 /hr (est.),-1.0,Vision IT Solutions Inc,"Avenel, NJ",Unknown,-1,1,50.0,Vision IT Solutions Inc, NJ
Jr Data Scientist,"$91,110 /yr (est.)",3.7,"Veracity Software
3.7","Iselin, NJ",51 to 200 Employees,Company - Private,0,91110.0,Veracity Software, NJ
Senior Data Scientist,"$115,980 /yr (est.)",4.6,"Crumbl Cookies
4.6","Lindon, UT",201 to 500 Employees,-1,0,115980.0,Crumbl Cookies, UT
Data Scientist,"$95,630 /yr (est.)",4.0,"Planet Technologies
4.0","Washington, DC",201 to 500 Employees,Company - Private,0,95630.0,Planet Technologies, DC
"Data Scientist, Growth","$207,500 /yr (est.)",4.9,"Notion
4.9","New York, NY",201 to 500 Employees,Company - Private,0,207500.0,Notion, NY
"Data Science Associate, Evaluation","$72,500 /yr (est.)",3.1,"Harlem Children's Zone
3.1","New York, NY",1001 to 5000 Employees,-1,0,72500.0,Harlem Children's Zone, NY
Data Scientist,"$88,488 /yr (est.)",2.1,"American Association of Neurological Surgeons
2.1","Rolling Meadows, IL",1 to 50 Employees,-1,0,88488.0,American Association of Neurological Surgeons, IL
"Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",1001 to 5000 Employees,Company - Private,0,138475.0,TikTok, CA
Data Analyst - Remote Opportunity,"$65,000 /yr (est.)",4.2,"Foley Carrier Services
4.2",Remote,51 to 200 Employees,Company - Private,0,65000.0,Foley Carrier Services,Remote
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",10000+ Employees,-1,0,101402.0,ADT, FL
Data Scientist (Medicaid),$65.71 /hr (est.),-1.0,Infrastaff,"Jackson, MS",-1,-1,1,65.71,Infrastaff, MS
Mathematical Scientist,"$150,000 /yr (est.)",-1.0,Pit.AI Technologies Inc.,"San Jose, CA",1 to 50 Employees,Company - Private,0,150000.0,Pit.AI Technologies Inc., CA
Data Scientist,"$93,000 /yr (est.)",5.0,"Vetro Tech Inc
5.0","Dallas, TX",Unknown,-1,0,93000.0,Vetro Tech Inc, TX
Data Scientist,"$105,000 /yr (est.)",3.1,"CVS Health
3.1","New York, NY",10000+ Employees,-1,0,105000.0,CVS Health, NY
Data Scientist,"$88,216 /yr (est.)",3.7,"DataSeers
3.7","Alpharetta, GA",1 to 50 Employees,Company - Private,0,88216.0,DataSeers, GA
Biomedical Data Scientist,"$95,246 /yr (est.)",3.2,"Retia Medical
3.2","White Plains, NY",1 to 50 Employees,Company - Private,0,95246.0,Retia Medical, NY
Data Scientist,"$80,000 /yr (est.)",1.0,"Procal Technologies
1.0",Remote,Unknown,Company - Private,0,80000.0,Procal Technologies,Remote
