Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Junior Scientific Programmer/Data Scientist,"$83,988 /yr (est.)",4.2,"University of Minnesota
4.2","Minneapolis, MN",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, University Graduate - 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist II - Data Scientist - Analytics,"$132,662 /yr (est.)",3.6,"Lakeland Regional Health
3.6",Remote,-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
11th Hour Staff Data Scientist,"$142,503 /yr (est.)",4.2,"The University of Chicago
4.2","Chicago, IL",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,$70.00 /hr (est.),4.3,"Infinity Quest
4.3",Remote,-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist - NLP,-1,3.8,"Bose
3.8",Remote,-1,5001 to 10000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist - Life Sciences,"$94,066 /yr (est.)",4.5,"Argonne National Laboratory
4.5","Lemont, IL",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$95,755 /yr (est.)",3.4,"Inspire Brands
3.4","Atlanta, GA",-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
2023 SETUP Technology Full Time Program – Data Scientist - New York,"$77,500 /yr (est.)",3.7,"BNY Mellon
3.7","Jersey City, NJ",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$81,809 /yr (est.)",4.0,"Grinnell College
4.0","Grinnell, IA",-1,501 to 1000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist I,"$110,617 /yr (est.)",2.8,"Vibrant Emotional Health
2.8","New York, NY",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
DATA SCIENTIST,"$170,757 /yr (est.)",4.1,"US Department of the Air Force - Agency Wide
4.1","Fort Meade, MD",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$93,398 /yr (est.)",4.1,"US Centers for Medicare & Medicaid Services
4.1","Wallops Island, VA",-1,5001 to 10000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$120,000 /yr (est.)",4.2,"Bayer
4.2","Chesterfield, MO",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
"Director, Data Scientist (GDSI) - Care Gap","$155,042 /yr (est.)",3.9,"Gilead Sciences
3.9","Foster City, CA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Science - Data Science Management Program (DSMP),"$133,256 /yr (est.)",5.0,"Blackstone Group
5.0","New York, NY",-1,Unknown,-1,-1,-1,-1,-1,-1
Data Scientist,"$103,856 /yr (est.)",3.6,"INFICON, Inc.
3.6","East Syracuse, NY",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Machine Learning Research Scientist - Natural Language Processing,"$180,900 /yr (est.)",4.3,"Toyota Research Institute
4.3","Los Altos, CA",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$94,470 /yr (est.)",4.1,"Flock Safety
4.1","Atlanta, GA",-1,501 to 1000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$98,995 /yr (est.)",4.4,"GTA (Global Technology Associates)
4.4","Reston, VA",-1,Unknown,-1,Company - Private,-1,-1,-1,-1
"AIML - Sr Data Scientist, AIML Data",-1,4.2,"Apple
4.2","Seattle, WA",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Geospatial Data Scientist,"$155,000 /yr (est.)",-1,EpochGeo,"Washington, DC",-1,-1,-1,-1,-1,-1,-1,-1
Open opportunity: biomedical data scientist!,"$135,000 /yr (est.)",5.0,"Data Tecnica
5.0","Glen Echo, MD",-1,Unknown,-1,Company - Private,-1,-1,-1,-1
"Data Scientist or Statistician, Postdoc","$93,500 /yr (est.)",3.9,"UT Southwestern Medical Center
3.9",Remote,-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist / Quantitative Analyst,"$109,226 /yr (est.)",4.4,"Wolverine Trading
4.4","Chicago, IL",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
Jr. Data Scientist,"$98,000 /yr (est.)",4.8,"WhirlWind Technologies, LLC
4.8",Remote,-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
Data Scientist III,$86.00 /hr (est.),4.5,"ComTec Information Systems
4.5",Remote,-1,501 to 1000 Employees,-1,Company - Private,-1,-1,$25 to $100 million (USD),-1
Data Scientist,"$142,693 /yr (est.)",5.0,"Vori
5.0","Palo Alto, CA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,-1,-1
Data Visualization Specialist,"$82,401 /yr (est.)",3.8,"BDO
3.8","San Francisco, CA",-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Head of Data Science,"$254,950 /yr (est.)",4.3,"Duolingo
4.3","New York, NY",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
"Data Scientist, Viral Genomics",-1,4.1,"Verily
4.1","South San Francisco, CA",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist 2,"$93,064 /yr (est.)",3.4,"Dine Development Corporation
3.4","Annapolis Junction, MD",-1,51 to 200 Employees,2014,Company - Private,-1,-1,-1,-1
Data Scientist,"$97,495 /yr (est.)",3.6,"Southern Glazer’s Wine and Spirits
3.6","Dallas, TX",-1,10000+ Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,"$102,993 /yr (est.)",5.0,"Markesman Group
5.0","Fort Meade, MD",-1,51 to 200 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$122,725 /yr (est.)",3.5,"OpenStore
3.5","Miami, FL",-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Data Scientist,$50.00 /hr (est.),-1,Vision IT Solutions Inc,"Avenel, NJ",-1,Unknown,-1,-1,-1,-1,-1,-1
Jr Data Scientist,"$91,110 /yr (est.)",3.7,"Veracity Software
3.7","Iselin, NJ",-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Senior Data Scientist,"$115,980 /yr (est.)",4.6,"Crumbl Cookies
4.6","Lindon, UT",-1,201 to 500 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$95,630 /yr (est.)",4.0,"Planet Technologies
4.0","Washington, DC",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
"Data Scientist, Growth","$207,500 /yr (est.)",4.9,"Notion
4.9","New York, NY",-1,201 to 500 Employees,-1,Company - Private,-1,-1,-1,-1
"Data Science Associate, Evaluation","$72,500 /yr (est.)",3.1,"Harlem Children's Zone
3.1","New York, NY",-1,1001 to 5000 Employees,-1,-1,-1,-1,-1,-1
Data Scientist,"$88,488 /yr (est.)",2.1,"American Association of Neurological Surgeons
2.1","Rolling Meadows, IL",-1,1 to 50 Employees,-1,-1,-1,-1,-1,-1
"Machine Learning Engineer, University Graduate (TikTok-Data)- 2023 Start (BS/MS)","$138,475 /yr (est.)",3.6,"TikTok
3.6","Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Private,-1,-1,-1,-1
Data Analyst - Remote Opportunity,"$65,000 /yr (est.)",4.2,"Foley Carrier Services
4.2",Remote,-1,51 to 200 Employees,-1,Company - Private,-1,-1,-1,-1
Remote Data Scientist.People Analytics,"$101,402 /yr (est.)",3.2,"ADT
3.2","Boca Raton, FL",-1,10000+ Employees,-1,-1,-1,-1,-1,-1
Data Scientist (Medicaid),$65.71 /hr (est.),-1,Infrastaff,"Jackson, MS",-1,-1,-1,-1,-1,-1,-1,-1
